sembol,tarih,durum,bar,giris_fiyat,giris_tarih,fiyat,kz_yuzde
OTTO,2026-09-15,BEKLE,0,,,121.0,
OYAKC,2026-09-15,BEKLE,0,,,20.96,
OYAYO,2026-09-15,BEKLE,0,,,41.68,
OYLUM,2026-09-15,BEKLE,0,,,6.76,
OYYAT,2026-09-15,BEKLE,0,,,33.66,
OZATD,2026-09-15,BEKLE,0,,,4980.0,
OZGYO,2026-09-15,BEKLE,0,,,2.04,
OZKGY,2026-09-15,BEKLE,0,,,12.58,
OZRDN,2026-09-15,BEKLE,0,,,30.14,
OZSUB,2026-09-15,BEKLE,0,,,39.8,
OZYSR,2026-09-15,BEKLE,0,,,11.4,
PAGYO,2026-09-15,BEKLE,0,,,134.2,
PAMEL,2026-09-15,BEKLE,0,,,65.7,
PAPIL,2026-09-15,BEKLE,0,,,12.1,
PARSN,2026-09-15,BEKLE,0,,,69.85,
PASEU,2026-09-15,BEKLE,0,,,75.95,
PCILT,2026-09-15,BEKLE,0,,,29.76,
PEKGY,2026-09-15,BEKLE,0,,,11.7,
PENGD,2026-09-15,BEKLE,0,,,9.02,
PENTA,2026-09-15,BEKLE,0,,,12.75,
PETKM,2026-09-15,BEKLE,0,,,22.68,
PINSU,2026-09-15,BEKLE,0,,,9.89,
PKART,2026-09-15,BEKLE,0,,,101.1,
PKENT,2026-09-15,BEKLE,0,,,120.0,
PLTUR,2026-09-15,BEKLE,0,,,19.56,
PNLSN,2026-09-15,BEKLE,0,,,37.96,
PNSUT,2026-09-15,BEKLE,0,,,11.21,
POLHO,2026-09-15,BEKLE,0,,,21.6,
POLTK,2026-09-15,BEKLE,0,,,4075.0,
PRDGS,2026-09-15,BEKLE,0,,,6.61,
PRKAB,2026-09-15,BEKLE,0,,,30.42,
PRKME,2026-09-15,BEKLE,0,,,18.1,
PRZMA,2026-09-15,BEKLE,0,,,69.85,
PSDTC,2026-09-15,BEKLE,0,,,136.6,
PSGYO,2026-09-15,BEKLE,0,,,2.87,
QNBFK,2026-09-15,BEKLE,0,,,40.0,
QNBTR,2026-09-15,BEKLE,0,,,177.0,
QUAGR,2026-09-15,BEKLE,0,,,2.83,
QUICK,2026-09-15,BEKLE,0,,,57.5,
RALYH,2026-09-15,BEKLE,0,,,265.0,
RAYSG,2026-09-15,BEKLE,0,,,146.4,
REEDR,2026-09-15,BEKLE,0,,,5.35,
RGYAS,2026-09-15,BEKLE,0,,,192.5,
RNPOL,2026-09-15,BEKLE,0,,,2.2,
RODRG,2026-09-15,BEKLE,0,,,22.1,
RUBNS,2026-09-15,BEKLE,0,,,27.3,
RUZYE,2026-09-15,BEKLE,0,,,8.3,
RYGYO,2026-09-15,BEKLE,0,,,42.2,
RYSAS,2026-09-15,BEKLE,0,,,25.28,
SAFKR,2026-09-15,BEKLE,0,,,13.0,
SAHOL,2026-09-15,BEKLE,0,,,90.3,
SAMAT,2026-09-15,BEKLE,0,,,5.08,
SANEL,2026-09-15,BEKLE,0,,,44.82,
SANFM,2026-09-15,BEKLE,0,,,8.54,
SARKY,2026-09-15,BEKLE,0,,,22.36,
SASA,2026-09-15,BEKLE,0,,,2.8,
SAYAS,2026-09-15,BEKLE,0,,,50.0,
SDTTR,2026-09-15,BEKLE,0,,,19.53,
SEGMN,2026-09-15,BEKLE,0,,,39.76,
SEGYO,2026-09-15,BEKLE,0,,,3.35,
SEKFK,2026-09-15,BEKLE,0,,,4.28,
SEKUR,2026-09-15,BEKLE,0,,,8.81,
SELEC,2026-09-15,BEKLE,0,,,291.75,
SELVA,2026-09-15,BEKLE,0,,,1.46,
SERNT,2026-09-15,BEKLE,0,,,7.95,
SEYKM,2026-09-15,BEKLE,0,,,4.26,
SILVR,2026-09-15,BEKLE,0,,,2.16,
SKTAS,2026-09-15,BEKLE,0,,,3.21,
SKYLP,2026-09-15,BEKLE,0,,,158.0,
SMART,2026-09-15,BEKLE,0,,,21.44,
SMRTG,2026-09-15,BEKLE,0,,,8.25,
SMRVA,2026-09-15,BEKLE,0,,,9.83,
SNGYO,2026-09-15,BEKLE,0,,,3.0,
SNICA,2026-09-15,BEKLE,0,,,3.06,
SOKE,2026-09-15,BEKLE,0,,,9.76,
SONME,2026-09-15,BEKLE,0,,,133.7,
SRVGY,2026-09-15,BEKLE,0,,,2.37,
SSAAT,2026-09-15,BEKLE,0,,,30.9,
SUNTK,2026-09-15,BEKLE,0,,,30.92,
SURGY,2026-09-15,BEKLE,0,,,28.84,
SVGYO,2026-09-15,BEKLE,0,,,15.55,
TABGD,2026-09-15,BEKLE,0,,,225.0,
TARKM,2026-09-15,BEKLE,0,,,514.5,
TATEN,2026-09-15,BEKLE,0,,,7.18,
TATGD,2026-09-15,BEKLE,0,,,17.44,
TAVHL,2026-09-15,BEKLE,0,,,254.75,
TBORG,2026-09-15,BEKLE,0,,,129.2,
TCELL,2026-09-15,BEKLE,0,,,99.4,
TCKRC,2026-09-15,BEKLE,0,,,130.1,
TEHOL,2026-09-15,BEKLE,0,,,47.82,
TEKTU,2026-09-15,BEKLE,0,,,6.83,
TEZOL,2026-09-15,BEKLE,0,,,8.64,
TGSAS,2026-09-15,BEKLE,0,,,198.0,
THYAO,2026-09-15,BEKLE,0,,,285.25,
TKNSA,2026-09-15,BEKLE,0,,,15.94,
TLMAN,2026-09-15,BEKLE,0,,,76.0,
TMPOL,2026-09-15,BEKLE,0,,,288.25,
TMSN,2026-09-15,BEKLE,0,,,71.1,
TNZTP,2026-09-15,BEKLE,0,,,31.7,
TRENJ,2026-09-15,BEKLE,0,,,103.6,
TRGYO,2026-09-15,BEKLE,0,,,92.0,
TSGYO,2026-09-15,BEKLE,0,,,5.56,
TSKB,2026-09-15,BEKLE,0,,,11.23,
TSPOR,2026-09-15,BEKLE,0,,,0.97,
TTRAK,2026-09-15,BEKLE,0,,,419.5,
TUCLK,2026-09-15,BEKLE,0,,,3.76,
TUKAS,2026-09-15,BEKLE,0,,,2.0,
TUREX,2026-09-15,BEKLE,0,,,5.8,
TURGG,2026-09-15,BEKLE,0,,,27.86,
UCAYM,2026-09-15,BEKLE,0,,,20.4,
UFUK,2026-09-15,BEKLE,0,,,1389.0,
ULKER,2026-09-15,BEKLE,0,,,89.15,
ULUFA,2026-09-15,BEKLE,0,,,1.58,
ULUSE,2026-09-15,BEKLE,0,,,224.7,
ULUUN,2026-09-15,BEKLE,0,,,7.69,
UNLU,2026-09-15,BEKLE,0,,,10.3,
USAK,2026-09-15,BEKLE,0,,,1.16,
USHOL,2026-09-15,BEKLE,0,,,67.9,
VAKFN,2026-09-15,BEKLE,0,,,1.09,
VAKKO,2026-09-15,BEKLE,0,,,66.4,
VANGD,2026-09-15,BEKLE,0,,,88.5,
VBTYZ,2026-09-15,BEKLE,0,,,32.8,
VERTU,2026-09-15,BEKLE,0,,,32.5,
VERUS,2026-09-15,BEKLE,0,,,523.0,
VESTL,2026-09-15,BEKLE,0,,,25.64,
VKFYO,2026-09-15,BEKLE,0,,,21.8,
VKING,2026-09-15,BEKLE,0,,,20.34,
VRGYO,2026-09-15,BEKLE,0,,,1.7,
VSNMD,2026-09-15,BEKLE,0,,,37.94,
YAPRK,2026-09-15,BEKLE,0,,,10.21,
YATAS,2026-09-15,BEKLE,0,,,29.72,
YAYLA,2026-09-15,BEKLE,0,,,21.0,
YEOTK,2026-09-15,BEKLE,0,,,32.34,
YESIL,2026-09-15,BEKLE,0,,,1.14,
YGGYO,2026-09-15,BEKLE,0,,,223.6,
YKBNK,2026-09-15,BEKLE,0,,,34.68,
YUNSA,2026-09-15,BEKLE,0,,,7.25,
ZEDUR,2026-09-15,BEKLE,0,,,7.26,
ZERGY,2026-09-15,BEKLE,0,,,9.23,
ZGYO,2026-09-15,BEKLE,0,,,21.04,
