sembol,tarih,durum,bar,giris_fiyat,giris_tarih,fiyat,kz_yuzde,sat_nedeni
SAFKR,2026-09-15,BEKLE,0,,,13.16,,
SAMAT,2026-09-15,BEKLE,0,,,5.1,,
SANEL,2026-09-15,BEKLE,0,,,44.6,,
SANFM,2026-09-15,BEKLE,0,,,8.63,,
SARAE,2026-09-15,BEKLE,0,,,86.3,,
SARKY,2026-09-15,BEKLE,0,,,22.66,,
SAYAS,2026-09-15,BEKLE,0,,,50.8,,
SDTTR,2026-09-15,BEKLE,0,,,20.54,,
SEGMN,2026-09-15,BEKLE,0,,,39.76,,
SEGYO,2026-09-15,BEKLE,0,,,3.37,,
SEKFK,2026-09-15,BEKLE,0,,,4.28,,
SEKUR,2026-09-15,BEKLE,0,,,8.81,,
SELEC,2026-09-15,BEKLE,0,,,291.75,,
SELVA,2026-09-15,BEKLE,0,,,1.48,,
SERNT,2026-09-15,BEKLE,0,,,7.99,,
SEYKM,2026-09-15,BEKLE,0,,,4.28,,
SILVR,2026-09-15,BEKLE,0,,,2.17,,
SKTAS,2026-09-15,BEKLE,0,,,3.26,,
SKYLP,2026-09-15,BEKLE,0,,,161.8,,
SMART,2026-09-15,BEKLE,0,,,21.94,,
SMRTG,2026-09-15,BEKLE,0,,,7.91,,
SMRVA,2026-09-15,BEKLE,0,,,10.15,,
SNGYO,2026-09-15,BEKLE,0,,,3.06,,
SNICA,2026-09-15,BEKLE,0,,,3.08,,
SOKE,2026-09-15,BEKLE,0,,,10.04,,
SOKM,2026-09-15,BEKLE,0,,,58.85,,
SONME,2026-09-15,BEKLE,0,,,134.7,,
SRVGY,2026-09-15,BEKLE,0,,,2.41,,
SSAAT,2026-09-15,BEKLE,0,,,31.52,,
SUNTK,2026-09-15,BEKLE,0,,,31.54,,
SURGY,2026-09-15,BEKLE,0,,,29.12,,
SUWEN,2026-09-15,BEKLE,0,,,7.07,,
SVGYO,2026-09-15,BEKLE,0,,,15.49,,
TABGD,2026-09-15,BEKLE,0,,,226.6,,
TARKM,2026-09-15,BEKLE,0,,,517.0,,
TATEN,2026-09-15,BEKLE,0,,,7.28,,
TATGD,2026-09-15,BEKLE,0,,,17.59,,
TAVHL,2026-09-15,BEKLE,0,,,260.5,,
TBORG,2026-09-15,BEKLE,0,,,130.4,,
TCELL,2026-09-15,BEKLE,0,,,100.0,,
TCKRC,2026-09-15,BEKLE,0,,,134.4,,
TEHOL,2026-09-15,BEKLE,0,,,48.8,,
TEKTU,2026-09-15,BEKLE,0,,,6.85,,
TEZOL,2026-09-15,BEKLE,0,,,8.68,,
TGSAS,2026-09-15,BEKLE,0,,,203.1,,
THYAO,2026-09-15,BEKLE,0,,,292.25,,
TKNSA,2026-09-15,BEKLE,0,,,16.27,,
TLMAN,2026-09-15,BEKLE,0,,,77.7,,
TMPOL,2026-09-15,BEKLE,0,,,292.5,,
TMSN,2026-09-15,BEKLE,0,,,74.25,,
TNZTP,2026-09-15,BEKLE,0,,,32.0,,
TOASO,2026-09-15,BEKLE,0,,,287.75,,
TRALT,2026-09-15,BEKLE,0,,,51.15,,
TRENJ,2026-09-15,BEKLE,0,,,104.9,,
TRGYO,2026-09-15,BEKLE,0,,,92.95,,
TRMET,2026-09-15,BEKLE,0,,,134.3,,
TSGYO,2026-09-15,BEKLE,0,,,5.67,,
TSKB,2026-09-15,BEKLE,0,,,11.31,,
TSPOR,2026-09-15,BEKLE,0,,,0.99,,
TTKOM,2026-09-15,BEKLE,0,,,55.7,,
TTRAK,2026-09-15,BEKLE,0,,,417.25,,
TUCLK,2026-09-15,BEKLE,0,,,3.81,,
TUKAS,2026-09-15,BEKLE,0,,,2.04,,
TUREX,2026-09-15,BEKLE,0,,,5.87,,
TURGG,2026-09-15,BEKLE,0,,,29.34,,
TURSG,2026-09-15,BEKLE,0,,,6.13,,
UCAYM,2026-09-15,BEKLE,0,,,20.76,,
UFUK,2026-09-15,BEKLE,0,,,1383.0,,
ULAS,2026-09-15,BEKLE,0,,,21.14,,
ULKER,2026-09-15,BEKLE,0,,,90.2,,
ULUFA,2026-09-15,BEKLE,0,,,1.6,,
ULUSE,2026-09-15,BEKLE,0,,,224.8,,
ULUUN,2026-09-15,BEKLE,0,,,7.78,,
UNLU,2026-09-15,BEKLE,0,,,10.41,,
USAK,2026-09-15,BEKLE,0,,,1.18,,
USHOL,2026-09-15,BEKLE,0,,,66.85,,
VAKFA,2026-09-15,BEKLE,0,,,10.96,,
VAKFN,2026-09-15,BEKLE,0,,,1.1,,
VAKKO,2026-09-15,BEKLE,0,,,68.2,,
VANGD,2026-09-15,BEKLE,0,,,88.5,,
VBTYZ,2026-09-15,BEKLE,0,,,33.44,,
VERTU,2026-09-15,BEKLE,0,,,33.08,,
VERUS,2026-09-15,BEKLE,0,,,528.0,,
VESTL,2026-09-15,BEKLE,0,,,26.9,,
VKFYO,2026-09-15,BEKLE,0,,,21.8,,
VKING,2026-09-15,BEKLE,0,,,20.54,,
VRGYO,2026-09-15,BEKLE,0,,,1.73,,
VSNMD,2026-09-15,BEKLE,0,,,39.16,,
YAPRK,2026-09-15,BEKLE,0,,,10.37,,
YATAS,2026-09-15,BEKLE,0,,,30.06,,
YAYLA,2026-09-15,BEKLE,0,,,21.18,,
YEOTK,2026-09-15,BEKLE,0,,,34.04,,
YESIL,2026-09-15,BEKLE,0,,,1.14,,
YGGYO,2026-09-15,BEKLE,0,,,223.8,,
YIGIT,2026-09-15,BEKLE,0,,,21.28,,
YKBNK,2026-09-15,BEKLE,0,,,35.44,,
YUNSA,2026-09-15,BEKLE,0,,,7.36,,
ZEDUR,2026-09-15,BEKLE,0,,,7.29,,
ZERGY,2026-09-15,BEKLE,0,,,9.38,,
ZGYO,2026-09-15,BEKLE,0,,,21.62,,
